DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210408257,05/04/2021 12:00:00 AM,05/03/2021 12:00:00 AM,2100,4,Hollenbeck,463,1,330,BURGLARY FROM VEHICLE,0344 1302 0329,22,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,1ST                          ST,PENNSYLVANIA,34.0462,-118.2153
220321202,12/02/2022 12:00:00 AM,12/02/2022 12:00:00 AM,611,3,Southwest,396,2,354,THEFT OF IDENTITY,0100 1822 0930 0935 0922,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,800 W  43RD                         ST,,34.0055,-118.2872
230316135,08/31/2023 12:00:00 AM,08/30/2023 12:00:00 AM,1,3,Southwest,399,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1606 0344 0385 1300,31,M,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,S  FIGUEROA                     ST,W  43RD                         PL,34.0046,-118.2827
220311676,06/03/2022 12:00:00 AM,06/03/2022 12:00:00 AM,906,3,Southwest,332,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0344 0352 0329 1310 0913 1240 0432,32,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,4300 W  30TH                         ST,,34.0276,-118.3405
211012173,09/10/2021 12:00:00 AM,09/10/2021 12:00:00 AM,145,10,West Valley,1011,1,330,BURGLARY FROM VEHICLE,1402 1822 9999 1202 0358 1300 1420,61,F,H,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,998.0,,,18900    COHASSET                     ST,,34.2062,-118.5451
221411055,05/18/2022 12:00:00 AM,05/15/2022 12:00:00 AM,2150,14,Pacific,1469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,301.0,GAS STATION,,,IC,Invest Cont,442.0,,,,5200 W  CENTINELA                    AV,,33.9773,-118.3702
210120268,11/10/2021 12:00:00 AM,11/02/2021 12:00:00 AM,1000,1,Central,119,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0910,26,F,B,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,341.0,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
201713569,09/23/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1330,17,Devonshire,1745,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0913 1817 0329,34,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,10600    LOUISE                       AV,,34.2631,-118.511
231304925,01/19/2023 12:00:00 AM,01/18/2023 12:00:00 AM,2100,13,Newton,1395,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,6800    AVALON                       BL,,33.9779,-118.2652
220815650,10/10/2022 12:00:00 AM,09/18/2022 12:00:00 AM,1000,8,West LA,827,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,75,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,11700 W  SUNSET                       BL,,34.0641,-118.4712
200415887,12/12/2020 12:00:00 AM,12/12/2020 12:00:00 AM,2035,4,Hollenbeck,465,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0371 0430 1822 0209 0906,28,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,INEZ                         ST,CONCORD                      ST,34.0339,-118.2012
221506299,02/27/2022 12:00:00 AM,02/26/2022 12:00:00 AM,1800,15,N Hollywood,1511,1,330,BURGLARY FROM VEHICLE,1300 0344,0,M,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,7300    ETHEL                        AV,,34.2033,-118.4182
210507047,03/19/2021 12:00:00 AM,03/19/2021 12:00:00 AM,920,5,Harbor,506,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0334 0302 1407 0216 0209 1822 1310 0906 0450,19,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,230.0,998.0,,,1300 W  219TH                        ST,,33.8292,-118.3016
201913560,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1,19,Mission,1985,1,330,BURGLARY FROM VEHICLE,0385 1609 0329,34,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,8800    VAN NUYS                     BL,,34.2301,-118.4502
200411925,08/19/2020 12:00:00 AM,08/19/2020 12:00:00 AM,1600,4,Hollenbeck,469,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1258 0553,6,M,H,101.0,STREET,,,AO,Adult Other,237.0,,,,4TH,INDIANA,34.0326,-118.1924
210710842,07/12/2021 12:00:00 AM,07/12/2021 12:00:00 AM,1945,7,Wilshire,724,2,624,BATTERY - SIMPLE ASSAULT,0400 0448 1822,39,M,H,414.0,BOOK STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,100    THE GROVE                    DR,,34.0747,-118.3563
211506591,03/04/2021 12:00:00 AM,02/22/2021 12:00:00 AM,1200,15,N Hollywood,1529,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,72,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,6300    CLEON                        AV,,34.1854,-118.3681
231011851,07/28/2023 12:00:00 AM,07/28/2023 12:00:00 AM,330,10,West Valley,1023,1,330,BURGLARY FROM VEHICLE,1300 1609 0329 0344 1822,76,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,18900    KITTRIDGE                    ST,,34.1904,-118.5508
211314983,08/27/2021 12:00:00 AM,08/27/2021 12:00:00 AM,2000,13,Newton,1309,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,29,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,1900    VIOLET                       ST,,34.0326,-118.2328
221211064,05/01/2022 12:00:00 AM,04/29/2022 12:00:00 AM,830,12,77th Street,1203,2,946,OTHER MISCELLANEOUS CRIME,0603 0913,33,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,946.0,,,,1800 W  49TH                         ST,,33.999,-118.3113
