ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
263111195,2/6/2023,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,B,47,18-24,F,40.887325,-73.847247,,,TRUE,New York
262715634,1/30/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,K,70,18-24,M,40.618165,-73.958627,,,TRUE,New York
264456442,3/2/2023,VEHICULAR ASSAULT (INTOX DRIVE,126,MISCELLANEOUS PENAL LAW,M,23,25-44,F,40.789341,-73.947351,,,TRUE,New York
267610840,5/2/2023,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEF,B,47,45-64,M,40.89341145,-73.85736207,,,TRUE,New York
265769848,3/28/2023,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,M,20,25-44,M,40.77178071,-73.97919361,,,TRUE,New York
263403030,2/10/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,1,45-64,M,40.720528,-74.007582,,,TRUE,New York
262787611,1/31/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,B,43,45-64,M,40.83551932,-73.86111445,,,TRUE,New York
270461257,6/27/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,14,45-64,M,40.752471,-73.979528,,,TRUE,New York
268837840,5/25/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,Q,111,18-24,M,40.76100003830422,-73.7716647,,,TRUE,New York
265142482,3/15/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,M,13,18-24,M,40.73443438,-73.98990393,,,TRUE,New York
268355291,5/16/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,24,25-44,M,40.798788,-73.968773,,,TRUE,New York
269345751,6/5/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,M,18,45-64,M,40.76539,-73.985702,,,TRUE,New York
265375556,3/20/2023,"FORGERY-ILLEGAL POSSESSION,VEH",126,MISCELLANEOUS PENAL LAW,B,40,18-24,M,40.81782448,-73.9152645,,,TRUE,New York
270481134,6/27/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,M,14,25-44,M,40.750423,-73.98928,,,TRUE,New York
266058704,4/2/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,101,25-44,M,40.594007,-73.753201,,,TRUE,New York
264123184,2/23/2023,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,CRIMINAL MISCHIEF & RELATED OF,Q,108,45-64,M,40.742954,-73.955274,,,TRUE,New York
267152980,4/24/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,M,26,45-64,M,40.81386,-73.956684,,,TRUE,New York
262969588,2/3/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,B,47,25-44,M,40.879072,-73.867623,,,TRUE,New York
265303137,3/18/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,M,33,25-44,F,40.834257,-73.948748,,,TRUE,New York
