ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
269999668,2023-06-17,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,B,48,0,25-44,M,BLACK,1016293,250009,40.852834,-73.884172,POINT (-73.884172 40.852834)
270357451,2023-06-25,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,U,BLACK,1025895,264597,40.892833,-73.84937,POINT (-73.84937 40.892833)
266986179,2023-04-20,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1020183,239282,40.823378,-73.870168,POINT (-73.870168 40.823378)
262666952,2023-01-29,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,PL 1702500,F,M,34,0,18-24,M,WHITE HISPANIC,1006413,253762,40.86316489,-73.91987408,POINT (-73.91987408 40.86316489)
262755993,2023-01-31,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,S,121,0,25-44,M,BLACK,940298,165977,40.622137,-74.158323,POINT (-74.158323 40.622137)
261751179,2023-01-11,114.0,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,B,43,0,25-44,F,WHITE HISPANIC,1024767,239021,40.822642,-73.853607,POINT (-73.853607 40.822642)
264262125,2023-02-26,106.0,ASSAULT POLICE/PEACE OFFICER,106.0,FELONY ASSAULT,PL 1200800,F,M,33,0,18-24,F,BLACK HISPANIC,1001134,244718,40.838355,-73.93898,POINT (-73.93898 40.838355)
266261559,2023-04-06,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,45,0,25-44,M,WHITE HISPANIC,1032140,242004,40.830792,-73.826946,POINT (-73.826946 40.830792)
270310715,2023-06-23,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,114,0,45-64,M,WHITE,1005721,221943,40.775833,-73.922476,POINT (-73.922476 40.775833)
268777934,2023-05-24,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,PL 160101X,F,M,13,0,<18,M,WHITE HISPANIC,985264,208166,40.73804412,-73.99634096,POINT (-73.99634096 40.73804412)
263433679,2023-02-11,639.0,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,B,48,0,18-24,M,BLACK,1013033,250293,40.853625,-73.895954,POINT (-73.895954 40.853625)
266727351,2023-04-15,705.0,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,PL 1702000,M,Q,115,0,25-44,F,BLACK HISPANIC,1018585,214928,40.7565375,-73.87606732,POINT (-73.87606732 40.7565375)
267572059,2023-05-02,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200700,F,K,66,0,<18,M,WHITE HISPANIC,986735,167242,40.625717,-73.991048,POINT (-73.991048 40.625717)
262108847,2023-01-18,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,110,0,25-44,F,WHITE HISPANIC,1020232,210719,40.744981,-73.870144,POINT (-73.870144 40.744981)
262067408,2023-01-18,511.0,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,PL 2200300,M,K,90,0,25-44,M,WHITE,999782,198685,40.71201,-73.943971,POINT (-73.943971 40.71201)
266157221,2023-04-04,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,Q,105,0,45-64,M,BLACK,1057314,200994,40.71805707,-73.7364264,POINT (-73.7364264 40.71805707)
269666648,2023-06-11,779.0,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,73,0,25-44,F,WHITE HISPANIC,1008227,183789,40.671104,-73.913562,POINT (-73.913562 40.671104)
266289742,2023-04-06,792.0,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,PL 265031B,F,K,81,0,25-44,M,BLACK,1000998,190978,40.690852,-73.939607,POINT (-73.939607 40.690852)
261941809,2023-01-15,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,46,0,45-64,F,BLACK,1007297,248822,40.849604,-73.916692,POINT (-73.916692 40.849604)
261289366,2023-01-03,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,M,WHITE HISPANIC,1021890,260059,40.880398,-73.863884,POINT (-73.863884 40.880398)
269007186,2023-05-29,724.0,"FORGERY-ILLEGAL POSSESSION,VEH",126.0,MISCELLANEOUS PENAL LAW,PL 1706501,F,Q,114,0,25-44,M,ASIAN / PACIFIC ISLANDER,1000877,216572,40.76110089,-73.9399805,POINT (-73.9399805 40.76110089)
263807104,2023-02-17,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,B,40,0,45-64,M,BLACK,1008500,237821,40.819408,-73.912384,POINT (-73.912384 40.819408)
269352893,2023-06-05,339.0,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,PL 1552500,M,M,13,0,25-44,F,BLACK,985689,208933,40.740151,-73.994805,POINT (-73.994805 40.740151)
268352295,2023-05-16,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,103,0,18-24,M,BLACK,1039647,195586,40.70334171,-73.80020318,POINT (-73.80020318 40.70334171)
269367084,2023-06-06,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,115,0,25-44,M,WHITE HISPANIC,1018713,214945,40.756585,-73.875603,POINT (-73.875603 40.756585)
266343115,2023-04-07,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,13,0,25-44,M,WHITE HISPANIC,988971,207813,40.737074,-73.982962,POINT (-73.982962 40.737074)
265940394,2023-03-31,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,60,0,18-24,M,BLACK,988238,150809,40.58061098,-73.98564317,POINT (-73.98564317 40.58061098)
269539192,2023-06-08,101.0,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,109,0,25-44,F,WHITE HISPANIC,1032084,216954,40.762037,-73.827328,POINT (-73.827328 40.762037)
