INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
228798151,2021-05-27,21:30:00,QUEENS,,105,0.0,,,False,,,,18-24,M,BLACK,1058925.0,180924.0,40.662964620000025,-73.73083868899994,POINT (-73.73083868899994 40.662964620000025)
219559682,2020-10-21,21:36:00,BROOKLYN,,81,0.0,,,True,,,,25-44,M,BLACK,1004234.3125,186461.703125,40.678456718000064,-73.92795224099996,POINT (-73.92795224099996 40.678456718000064)
234756217,2021-10-09,20:17:00,BROOKLYN,,71,0.0,,,False,,,,25-44,M,BLACK,996148.0,181562.0,40.66502269100005,-73.95711436799998,POINT (-73.95711436799998 40.66502269100005)
230311079,2021-07-01,02:44:00,BROOKLYN,,73,0.0,,,False,,,,25-44,M,BLACK,1009826.0,183194.0,40.66947322100003,-73.90780500799997,POINT (-73.90780500799997 40.66947322100003)
225297069,2021-03-07,21:17:00,BROOKLYN,,71,0.0,,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,25-44,M,WHITE,995792.0,178767.0,40.65735150300002,-73.95840237599998,POINT (-73.95840237599998 40.65735150300002)
215767018,2020-07-24,01:30:00,BROOKLYN,,78,0.0,,,False,,,,25-44,M,BLACK,988609.75,186251.375,40.67790089700002,-73.98428342199996,POINT (-73.98428342199998 40.67790089700003)
235757726,2021-10-31,14:24:00,BROOKLYN,,79,0.0,,,True,25-44,M,BLACK,18-24,M,BLACK,1000382.0,192387.0,40.69472815800003,-73.94182674699994,POINT (-73.94182674699994 40.69472815800003)
233762539,2021-09-18,19:41:00,MANHATTAN,,23,2.0,,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,998288.0,227463.0,40.79100658600004,-73.94930485999998,POINT (-73.94930485999998 40.79100658600004)
226500707,2021-04-04,23:15:00,BROOKLYN,,75,0.0,,,False,,,,25-44,M,BLACK,1013711.0,178670.0,40.65704377400005,-73.89382012899993,POINT (-73.89382012899993 40.65704377400005)
214729488,2020-06-29,20:56:00,BROOKLYN,,83,0.0,,PVT HOUSE,False,25-44,M,WHITE HISPANIC,45-64,M,BLACK,1009325.6875,191646.71875,40.69267543700005,-73.909577083,POINT (-73.90957708299999 40.69267543700005)
