ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12565085,JE474524,2021-12-12 01:30:00,007XX W 50TH ST,0810,THEFT,OVER $500,STREET,False,False,935,9.0,20.0,61.0,06,1172219.0,1871714.0,2021,12/19/2021 03:40:35 PM,41.803429487,-87.643914354,"(41.803429487, -87.643914354)"
12369135,JE233973,2021-02-14 23:30:00,048XX N DAMEN AVE,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,False,False,2032,20.0,47.0,4.0,06,1162137.0,1932097.0,2021,05/20/2021 03:40:00 PM,41.969341473,-87.679201891,"(41.969341473, -87.679201891)"
12620232,JF146983,2022-02-17 02:00:00,076XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,421,4.0,7.0,43.0,08B,1193859.0,1854712.0,2022,01/03/2023 03:40:27 PM,41.756271144,-87.565108328,"(41.756271144, -87.565108328)"
13164363,JG369329,2023-08-03 19:30:00,016XX N FAIRFIELD AVE,0810,THEFT,OVER $500,STREET,False,False,1421,14.0,26.0,24.0,06,1157787.0,1910737.0,2023,08/19/2023 03:40:26 PM,41.910818232,-87.695781008,"(41.910818232, -87.695781008)"
12415978,JE292336,2021-07-06 15:34:00,059XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,232,2.0,20.0,40.0,08B,1178171.0,1865754.0,2021,07/13/2021 03:41:01 PM,41.786941601,-87.622266441,"(41.786941601, -87.622266441)"
12099609,JD289775,2020-07-07 20:24:00,029XX N NEWCASTLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2511,25.0,36.0,18.0,08B,1130245.0,1918799.0,2020,07/14/2020 03:41:36 PM,41.93345857,-87.796776726,"(41.93345857, -87.796776726)"
12385829,JE255055,2021-06-05 17:15:00,007XX N ADA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1215,12.0,27.0,24.0,08B,1167196.0,1905078.0,2021,12/29/2021 03:40:26 PM,41.895092447,-87.661378646,"(41.895092447, -87.661378646)"
12502899,JE398451,2021-10-05 02:00:00,051XX S RUTHERFORD AVE,0810,THEFT,OVER $500,STREET,False,False,811,8.0,23.0,56.0,06,1132254.0,1869651.0,2021,10/12/2021 03:41:48 PM,41.798554399,-87.790535644,"(41.798554399, -87.790535644)"
12138147,JD335170,2020-08-17 03:20:00,008XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,True,True,123,1.0,4.0,32.0,08B,1177399.0,1896583.0,2020,08/25/2020 03:40:34 PM,41.871556324,-87.624163883,"(41.871556324, -87.624163883)"
12908293,JF492977,2022-11-30 11:42:00,007XX E 111TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,531,5.0,9.0,50.0,04A,1183356.0,1831503.0,2022,01/03/2023 03:40:27 PM,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
13076919,JG265269,2023-05-18 10:30:00,021XX S LAFLIN ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,1235,12.0,25.0,31.0,08B,1166703.0,1889711.0,2023,08/19/2023 03:40:26 PM,41.852934738,-87.663629657,"(41.852934738, -87.663629657)"
12330051,JE186664,2021-03-03 00:00:00,014XX W BELLE PLAINE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1912,19.0,47.0,6.0,06,1165928.0,1927326.0,2021,04/06/2021 03:39:30 PM,41.95616939,-87.665399168,"(41.95616939, -87.665399168)"
12683987,JF223756,2022-04-29 01:26:00,048XX S LOOMIS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,933,9.0,20.0,61.0,08B,1167817.0,1872590.0,2022,01/03/2023 03:40:27 PM,41.805929086,-87.660033433,"(41.805929086, -87.660033433)"
13145719,JG347156,2023-07-19 08:15:00,021XX W FLETCHER ST,0810,THEFT,OVER $500,RESIDENCE,False,False,1931,19.0,32.0,5.0,06,1161568.0,1920898.0,2023,08/19/2023 03:40:26 PM,41.938622732,-87.681607258,"(41.938622732, -87.681607258)"
