Incident ID,Offence Code,CR Number,Dispatch Date / Time,Start_Date_Time,End_Date_Time,NIBRS Code,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Latitude,Longitude,Police District Number,Location
201248466,2203,190034048,07/18/2019 01:31:01 AM,2019-07-18 01:22:00,07/18/2019 01:23:00 AM,220,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,ROCKVILLE,14900 BLK  SHADY GROVE RD,ROCKVILLE,MD,20850.0,RCPD,Retail - Appliances/Electronics,B,1B1,241,14900.0,,SHADY GROVE,,RD,39.09939,-77.1924,1D,"(39.0994, -77.1924)"
201384806,2501,220031004,07/19/2022 10:15:45 AM,2022-07-18 20:30:00,,250,1,Crime Against Property,Counterfeiting/Forgery,FORGERY OF CHECKS,MONTGOMERY VILLAGE,500 BLK  CHESTERTOWN ST,GAITHERSBURG,MD,20878.0,MCPD,Other/Unknown,P,6P2,450,500.0,,CHESTERTOWN,,ST,39.12324,-77.247,6D,"(39.1232, -77.247)"
201322902,1316,210009178,03/11/2021 03:47:32 PM,2021-03-11 15:47:00,,13C,1,Crime Against Person,Intimidation,ASSAULT - INTIMIDATION (INCLUDES STALKING),WHEATON,10800 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,323,10800.0,,GEORGIA,,AVE,39.03193,-77.0483,4D,"(39.0319, -77.0483)"
201431145,2399,230028749,06/15/2023 09:19:34 AM,2023-06-11 10:36:00,,23H,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),GERMANTOWN,200 BLK  REDPOLL AL,CLARKSBURG,MD,20871.0,MCPD,Other/Unknown,N,5N3,466,200.0,,REDPOLL,,AL,39.21921,-77.2957,5D,"(39.2192, -77.2957)"
201230360,9103,190010612,03/07/2019 09:45:06 AM,2019-03-07 09:45:00,03/07/2019 12:00:00 AM,720,1,Crime Against Society,Animal Cruelty,ANIMAL CRUELTY,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Residence - Apartment/Condo,L,4L2,324,11200.0,,GEORGIA,,AVE,39.03867,-77.0508,4D,"(39.0387, -77.0508)"
201348583,2902,210040361,10/09/2021 01:41:47 PM,2021-10-08 23:45:00,10/09/2021 11:45:00 AM,290,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,SILVER SPRING,4300 BLK  REGALWOOD TER,BURTONSVILLE,MD,20866.0,MCPD,Street - Residential,I,3I2,381,4300.0,,REGALWOOD,,TER,39.09892,-76.9208,3D,"(39.0989, -76.9208)"
201340249,5212,210029457,07/29/2021 05:02:40 PM,2021-07-29 15:56:00,,520,1,Crime Against Society,Weapon Law Violations,WEAPON - POSSESSION,GERMANTOWN,19400 BLK  DOVER CLIFFS CIR,GERMANTOWN,MD,20874.0,MCPD,Retail - Other,N,5N1,702,19400.0,,DOVER CLIFFS,,CIR,39.17717,-77.2795,5D,"(39.1772, -77.2795)"
201433484,2902,230031098,06/29/2023 02:16:38 PM,2023-06-21 00:00:00,06/29/2023 02:16:00 PM,290,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,SILVER SPRING,500 BLK  GRANVILLE DR,SILVER SPRING,MD,20901.0,MCPD,Residence - Single Family,G,3G2,104,500.0,,GRANVILLE,,DR,39.0144,-77.0187,3D,"(39.0144, -77.0187)"
201251218,2602,190036161,07/29/2019 03:55:48 PM,2019-07-29 11:00:00,,26A,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,MONTGOMERY VILLAGE,18600 BLK  MUNCASTER RD,DERWOOD,MD,20855.0,MCPD,Other/Unknown,R,6R3,716,18600.0,,MUNCASTER,,RD,39.16062,-77.1247,6D,"(39.1606, -77.1247)"
201416855,2902,230011704,03/10/2023 07:06:27 AM,2023-03-09 18:30:00,03/10/2023 05:30:00 AM,290,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,BETHESDA,5500 BLK  BRITE DR,BETHESDA,MD,20817.0,MCPD,Street - Residential,E,2E2,024,5500.0,,BRITE,,DR,38.98049,-77.1116,2D,"(38.9805, -77.1116)"
201439358,2902,230049144,08/12/2023 05:29:49 PM,2023-08-12 14:30:00,,290,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,BETHESDA,11100 BLK  ROCK RD,ROCKVILLE,,20852.0,MCPD,Residence - Single Family,D,2D4,309,11100.0,,ROCK,,RD,39.03642,-77.0881,2D,"(39.0364, -77.0881)"
