DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
210408257,05/03/2021 12:00:00 AM,2100,4,463,330,BURGLARY FROM VEHICLE,22,F,Invest Cont,1ST                          ST,34.0462,-118.2153,Los Angeles,BURGLARY FROM VEHICLE,,,False
220321202,12/02/2022 12:00:00 AM,611,3,396,354,THEFT OF IDENTITY,28,F,Invest Cont,800 W  43RD                         ST,34.0055,-118.2872,Los Angeles,THEFT OF IDENTITY,,,False
230316135,08/30/2023 12:00:00 AM,1,3,399,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,Invest Cont,S  FIGUEROA                     ST,34.0046,-118.2827,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
220311676,06/03/2022 12:00:00 AM,906,3,332,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,32,F,Adult Other,4300 W  30TH                         ST,34.0276,-118.3405,Los Angeles,INTIMATE PARTNER - AGGRAVATED ASSAULT,,,False
211012173,09/10/2021 12:00:00 AM,145,10,1011,330,BURGLARY FROM VEHICLE,61,F,Invest Cont,18900    COHASSET                     ST,34.2062,-118.5451,Los Angeles,BURGLARY FROM VEHICLE,,,False
221411055,05/15/2022 12:00:00 AM,2150,14,1469,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,Invest Cont,5200 W  CENTINELA                    AV,33.9773,-118.3702,Los Angeles,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,,False
210120268,11/02/2021 12:00:00 AM,1000,1,119,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",26,F,Invest Cont,800 N  ALAMEDA                      ST,34.0561,-118.2375,Los Angeles,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,,False
201713569,08/27/2020 12:00:00 AM,1330,17,1745,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34,F,Invest Cont,10600    LOUISE                       AV,34.2631,-118.511,Los Angeles,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,,False
231304925,01/18/2023 12:00:00 AM,2100,13,1395,510,VEHICLE - STOLEN,0,,Invest Cont,6800    AVALON                       BL,33.9779,-118.2652,Los Angeles,VEHICLE - STOLEN,,,False
220815650,09/18/2022 12:00:00 AM,1000,8,827,440,THEFT PLAIN - PETTY ($950 & UNDER),75,F,Invest Cont,11700 W  SUNSET                       BL,34.0641,-118.4712,Los Angeles,THEFT PLAIN - PETTY ($950 & UNDER),,,False
