Incident ID,Start_Date_Time,NIBRS Code,Crime Name2,Crime Name3,Block Address,City,Sector,Latitude,Longitude,Police District Number,Vict Age,Vict Sex,Perp Age,Perp Sex,Arrest
201248466,2019-07-18 01:22:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,14900 BLK  SHADY GROVE RD,ROCKVILLE,B,39.09939,-77.1924,1D,,,,,Unknown
201384806,2022-07-18 20:30:00,250,Counterfeiting/Forgery,FORGERY OF CHECKS,500 BLK  CHESTERTOWN ST,GAITHERSBURG,P,39.12324,-77.247,6D,,,,,Unknown
201322902,2021-03-11 15:47:00,13C,Intimidation,ASSAULT - INTIMIDATION (INCLUDES STALKING),10800 BLK  GEORGIA AVE,SILVER SPRING,L,39.03193,-77.0483,4D,,,,,Unknown
201431145,2023-06-11 10:36:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),200 BLK  REDPOLL AL,CLARKSBURG,N,39.21921,-77.2957,5D,,,,,Unknown
201230360,2019-03-07 09:45:00,720,Animal Cruelty,ANIMAL CRUELTY,11200 BLK  GEORGIA AVE,SILVER SPRING,L,39.03867,-77.0508,4D,,,,,Unknown
201348583,2021-10-08 23:45:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,4300 BLK  REGALWOOD TER,BURTONSVILLE,I,39.09892,-76.9208,3D,,,,,Unknown
201340249,2021-07-29 15:56:00,520,Weapon Law Violations,WEAPON - POSSESSION,19400 BLK  DOVER CLIFFS CIR,GERMANTOWN,N,39.17717,-77.2795,5D,,,,,Unknown
201433484,2023-06-21 00:00:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,500 BLK  GRANVILLE DR,SILVER SPRING,G,39.0144,-77.0187,3D,,,,,Unknown
201251218,2019-07-29 11:00:00,26A,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,18600 BLK  MUNCASTER RD,DERWOOD,R,39.16062,-77.1247,6D,,,,,Unknown
201416855,2023-03-09 18:30:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,5500 BLK  BRITE DR,BETHESDA,E,38.98049,-77.1116,2D,,,,,Unknown
201439358,2023-08-12 14:30:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,11100 BLK  ROCK RD,ROCKVILLE,D,39.03642,-77.0881,2D,,,,,Unknown
201339588,2019-07-27 00:00:00,23G,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,3600 BLK  UNIVERSITY BLV W,KENSINGTON,D,39.03381,-77.0724,2D,,,,,Unknown
201263766,2019-11-04 22:30:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,1100 BLK  UNIVERSITY BLV W,SILVER SPRING,L,39.03585,-77.0268,4D,,,,,Unknown
201359530,2021-12-22 08:00:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),1200 BLK  MAIN ST,GAITHERSBURG,P,39.11631,-77.2323,6D,,,,,Unknown
201347297,2021-09-29 18:00:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,9600 BLK  MAIN ST,DAMASCUS,M,39.28668,-77.1982,5D,,,,,Unknown
201438311,2023-08-05 21:10:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,13100 BLK  FERNEDGE RD,SILVER SPRING,K,39.06996,-77.0592,4D,,,,,Unknown
201344860,2021-08-30 00:00:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,,ROCKVILLE,A,39.08792,-77.1504,1D,,,,,Unknown
201324219,2021-03-20 23:00:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,5800 BLK  GREENTREE RD,BETHESDA,E,39.00095,-77.1157,2D,,,,,Unknown
201389793,2022-08-26 12:00:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),14800 BLK  SOUTHLAWN LA,ROCKVILLE,A,39.09774,-77.1365,1D,,,,,Unknown
201245566,2019-06-26 19:00:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,2900 BLK  PARKER AVE,SILVER SPRING,L,39.04875,-77.0593,4D,,,,,Unknown
201407476,2022-12-27 13:30:00,23D,Theft from Building,LARCENY - FROM BLDG,3200 BLK  WHISPERING PINES DR,SILVER SPRING,K,39.08831,-77.0652,4D,,,,,Unknown
201376407,2022-04-18 00:00:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,1  BLK  DEBORAH CT,POTOMAC,B,39.04411,-77.1648,1D,,,,,Unknown
201226357,2019-02-11 01:45:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,8600 BLK  FLOWER AVE,TAKOMA PARK,T,38.99645,-77.0031,TPPD,,,,,Unknown
201347442,2021-09-30 21:25:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,,BETHESDA,D,38.98234,-77.0926,2D,,,,,Unknown
201280431,2020-03-04 01:49:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,21000 BLK  RIDGE RD,GERMANTOWN,M,39.19781,-77.2631,5D,,,,,Unknown
201401033,2022-11-16 19:00:00,120,Robbery,ROBBERY - GUN,8200 BLK  FENTON ST,SILVER SPRING,G,38.99169,-77.024,3D,,,,,Unknown
201239238,2019-05-13 08:00:00,35A,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,4600 BLK W FRANKFORT DR,ROCKVILLE,K,39.08461,-77.0898,4D,,,,,Unknown
201294914,2020-07-14 10:00:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,9900 BLK  SHELBURNE TER,GAITHERSBURG,P,39.1164,-77.2023,6D,,,,,Unknown
201381582,2022-06-23 12:19:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),10400 BLK  ROCKVILLE PIK,ROCKVILLE,D,39.02748,-77.1037,2D,,,,,Unknown
201223509,2019-01-19 00:23:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,,SILVER SPRING,L,39.11237,-77.0755,4D,,,,,Unknown
201270738,2019-12-23 13:51:00,270,Embezzlement,EMBEZZLE - POSTAL,20000 BLK  AIRCRAFT DR,GERMANTOWN,N,39.18396,-77.2617,5D,,,,,Unknown
201439999,2023-08-17 21:00:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,14100 BLK  GRAND PRE RD,SILVER SPRING,K,39.08683,-77.0738,4D,,,,,Unknown
201368277,2021-10-25 00:01:00,90C,Disorderly Conduct,INDECENT EXPOSURE TO ADULT,14600 BLK  KEENELAND CIR,GAITHERSBURG,B,39.09501,-77.2538,1D,,,,,Unknown
201287442,2020-05-09 14:04:00,13B,Simple Assault,ASSAULT - SIMPLE,500 BLK  THAYER AVE,SILVER SPRING,G,38.99384,-77.0115,3D,,,,,Unknown
201328711,2021-03-16 00:00:00,250,Counterfeiting/Forgery,FORGERY OF CHECKS,700 BLK  RUSSELL AVE,GAITHERSBURG,R,39.15063,-77.2039,6D,,,,,Unknown
201406831,2022-12-29 13:59:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,200 BLK  CONGRESSIONAL LA,ROCKVILLE,A,39.06226,-77.129,1D,,,,,Unknown
201434666,2023-07-07 14:00:00,23G,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,5400 BLK  RANDOLPH RD,ROCKVILLE,A,39.0535,-77.1067,1D,,,,,Unknown
201265700,2019-11-17 19:25:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,,SILVER SPRING,L,39.05203,-77.0656,4D,,,,,Unknown
201412577,2023-02-09 15:25:00,240,Motor Vehicle Theft,STOLEN VEHICLE (DESCRIBE OFFENSE),18800 BLK  SPARKLING WATER DR,GERMANTOWN,N,39.16296,-77.2766,5D,,,,,Unknown
201315501,2021-01-03 01:28:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,,ROCKVILLE,K,39.053,-77.077,4D,,,,,Unknown
201438955,2023-08-10 15:50:00,23D,Theft from Building,LARCENY - FROM BLDG,14400 BLK  BAUER DR,ROCKVILLE,K,39.09091,-77.1001,4D,,,,,Unknown
201276325,2020-02-03 18:55:00,90C,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,13600 BLK  GEORGIA AVE,SILVER SPRING,K,39.07828,-77.0718,4D,,,,,Unknown
201284511,2020-04-09 11:20:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,1  BLK  NORMANDY SQUARE CT,SILVER SPRING,K,39.10201,-77.0518,4D,,,,,Unknown
201358563,2021-12-28 19:28:00,23C,Shoplifting,LARCENY - SHOPLIFTING,20900 BLK  FREDERICK RD,GERMANTOWN,M,39.19829,-77.2448,5D,,,,,Unknown
201378222,2022-05-27 18:00:00,23C,Shoplifting,LARCENY - SHOPLIFTING,20900 BLK  FREDERICK RD,GERMANTOWN,M,39.19829,-77.2448,5D,,,,,Unknown
201404564,2022-12-13 00:02:00,23C,Shoplifting,LARCENY - SHOPLIFTING,1200 BLK E WEST HWY,SILVER SPRING,G,39.12378,-77.2033,3D,,,,,Unknown
201344377,2021-09-05 15:15:00,23C,Shoplifting,LARCENY - SHOPLIFTING,9100 BLK  ROTHBURY DR,MONTGOMERY VILLAGE,R,39.18526,-77.1874,6D,,,,,Unknown
201376217,2022-05-15 02:47:00,220,Burglary/Breaking and Entering,BURGLARY (DESCRIBE OFFENSE),19300 BLK  KEYMAR WAY,MONTGOMERY VILLAGE,R,39.17313,-77.197,6D,,,,,Unknown
201422867,2023-04-18 17:19:00,26A,False Pretenses/Swindle/Confidence Game,FRAUD - SWINDLE,1100 BLK  GRANDIN AVE,ROCKVILLE,A,39.07948,-77.1307,1D,,,,,Unknown
201405560,2022-12-18 09:36:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,9800 BLK  ALLENFORD CIR,ROCKVILLE,B,39.0873,-77.2096,1D,,,,,Unknown
201385349,2022-07-22 23:30:00,220,Burglary/Breaking and Entering,BURGLARY - NO FORCED ENTRY-RESIDENTIAL,1  BLK  UPPER ROCK CIR,ROCKVILLE,A,39.1132,-77.185,1D,,,,,Unknown
201435590,2023-07-11 19:23:00,23D,Theft from Building,LARCENY - FROM BLDG,11400 BLK  AMHERST AVE,SILVER SPRING,L,39.04128,-77.0482,4D,,,,,Unknown
201272943,2020-01-09 00:00:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,15100 BLK  INTERLACHEN DR,SILVER SPRING,K,39.10575,-77.0694,4D,,,,,Unknown
201303236,2020-09-20 22:00:00,23G,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,15500 BLK  FREDERICK RD,DERWOOD,A,39.11,-77.1604,1D,,,,,Unknown
201367873,2022-03-11 18:46:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,11100 BLK  VEIRS MILL RD,SILVER SPRING,L,39.03758,-77.0519,4D,,,,,Unknown
201289100,2020-05-25 21:51:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,12300 BLK  GEORGIA AVE,SILVER SPRING,J,39.05819,-77.05,4D,,,,,Unknown
201334528,2021-06-08 15:36:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),100 BLK  TIMBERBROOK LA,GAITHERSBURG,P,39.11763,-77.2168,6D,,,,,Unknown
201245506,2019-06-25 03:00:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,4100 BLK  ALFALFA TER,OLNEY,J,39.13925,-77.0829,4D,,,,,Unknown
201316332,2021-01-14 11:27:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),2100 BLK  INDUSTRIAL PKW,SILVER SPRING,I,39.05583,-76.9709,3D,,,,,Unknown
201411748,2023-02-03 11:15:00,520,Weapon Law Violations,WEAPON - CONCEALED,900 BLK  UNIVERSITY BLV,SILVER SPRING,L,38.99418,-76.9925,4D,,,,,Unknown
201268216,2019-12-05 16:22:00,90G,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),2500 BLK  UNIVERSITY BLV W,SILVER SPRING,L,39.04148,-77.0518,4D,,,,,Unknown
201430043,2023-06-07 15:42:00,23D,Theft from Building,LARCENY - FROM BLDG,1  BLK  PIMLICO CT,SILVER SPRING,K,39.10531,-77.0742,4D,,,,,Unknown
201435191,2023-07-09 19:00:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,10600 BLK S DUNMOOR DR,SILVER SPRING,H,39.02566,-77.0074,3D,,,,,Unknown
201275585,2020-01-28 11:51:00,26A,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),2000 BLK  ROCKLAND AVE,ROCKVILLE,A,39.07013,-77.1227,1D,,,,,Unknown
201231295,2019-03-17 07:00:00,23D,Theft from Building,LARCENY - FROM BLDG,18100 BLK  PRINCE PHILIP DR,OLNEY,J,39.15425,-77.0569,4D,,,,,Unknown
201244042,2019-06-15 13:42:00,23C,Shoplifting,LARCENY - SHOPLIFTING,1200 BLK E WEST HWY,SILVER SPRING,G,39.12378,-77.2033,3D,,,,,Unknown
201417269,2023-03-05 01:00:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - BUSINESS,9800 BLK  WASHINGTONIAN BLV,GAITHERSBURG,P,39.11415,-77.197,6D,,,,,Unknown
201255617,2019-09-06 00:00:00,26B,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,19700 BLK  GERMANTOWN RD,GERMANTOWN,N,39.17881,-77.2673,5D,,,,,Unknown
201406905,2022-12-31 07:45:00,13A,Aggravated Assault,ASSAULT - AGGRAVATED - GUN,2700 BLK  URBANA DR,SILVER SPRING,K,39.06107,-77.0562,4D,,,,,Unknown
201282984,2020-03-21 08:30:00,23D,Theft from Building,LARCENY - FROM BLDG,900 BLK  CLOPPER RD,GAITHERSBURG,P,39.14601,-77.2282,6D,,,,,Unknown
201229760,2019-03-06 20:47:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,23400 BLK  WOODFIELD RD,GAITHERSBURG,M,39.24038,-77.1827,5D,,,,,Unknown
201259602,2019-10-04 23:24:00,35A,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,,SILVER SPRING,G,38.9903,-77.0183,3D,,,,,Unknown
201261696,2019-10-19 16:00:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),9500 BLK  LINDALE DR,BETHESDA,E,39.01091,-77.1205,2D,,,,,Unknown
201315870,2021-01-09 10:30:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,6800 BLK  PRINCE GEORGES AVE,TAKOMA PARK,T,38.97318,-76.9981,TPPD,,,,,Unknown
201241105,2019-05-25 01:32:00,35A,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,900 BLK  SILVER SPRING AVE,SILVER SPRING,G,38.99169,-77.024,3D,,,,,Unknown
201316539,2021-01-16 00:38:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,,GAITHERSBURG,R,39.15927,-77.2265,6D,,,,,Unknown
201422057,2023-04-12 16:30:00,90F,"Family Offenses, NonViolent",FAMILY OFFENSE - CRUELTY TOWARD CHILD,6300 BLK  GREENTREE RD,BETHESDA,E,39.00172,-77.1278,2D,,,,,Unknown
201340588,2021-08-04 19:25:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE DRUGS,10200 BLK  GREAT SENECA HWY,GAITHERSBURG,P,39.11021,-77.2173,6D,,,,,Unknown
201436129,2023-07-21 03:00:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,1200 BLK  KIRKLYNN AVE,TAKOMA PARK,T,38.98727,-76.9908,TPPD,,,,,Unknown
201427084,2023-05-18 02:19:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,20800 BLK  GAELIC CT,GERMANTOWN,N,39.1971,-77.27,5D,,,,,Unknown
201382005,2022-06-27 09:00:00,90G,Liquor Law Violations,LIQUOR - POSSESS,200 BLK  MEADOW HALL DR,ROCKVILLE,A,39.07435,-77.1137,1D,,,,,Unknown
201422109,2023-04-13 22:30:00,35A,Drug/Narcotic Violations,DRUGS - OPIUM OR DERIVATIVE - POSSESS,11200 BLK  TRIANGLE LA,SILVER SPRING,L,39.03853,-77.0515,4D,,,,,Unknown
201292402,2020-06-24 14:30:00,26B,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,10400 BLK  DAMASCUS PARK LA,DAMASCUS,M,39.27294,-77.2136,5D,,,,,Unknown
201246183,2019-06-30 21:30:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,18600 BLK  AZALEA DR,DERWOOD,R,39.1609,-77.1173,6D,,,,,Unknown
201233376,2019-04-02 11:18:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,1  BLK W MONTGOMERY AVE,ROCKVILLE,A,38.97429,-77.0089,1D,,,,,Unknown
201351000,2021-10-28 03:00:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,600 BLK S FREDERICK AVE,GAITHERSBURG,P,39.15009,-77.209,6D,,,,,Unknown
201361074,2022-01-04 13:00:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,2400 BLK  BLUERIDGE AVE,SILVER SPRING,L,39.043,-77.0499,4D,,,,,Unknown
201340445,2021-07-31 20:00:00,11A,Forcible Rape,RAPE - STRONG-ARM,4200 BLK  TAZEWELL TER,BURTONSVILLE,I,39.10374,-76.9241,3D,,,,,Unknown
201236452,2019-04-23 09:00:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),700 BLK  MONROE ST,ROCKVILLE,A,39.07537,-77.153,1D,,,,,Unknown
201401037,2022-11-17 06:59:00,23C,Shoplifting,LARCENY - SHOPLIFTING,5000 BLK  BRADLEY BLV,CHEVY CHASE,D,38.978,-77.0987,2D,,,,,Unknown
201275665,2020-01-29 19:47:00,40C,Purchasing Prostitution,COMM SEX OFF - PURCHASE PROSTITUTE - ADULT,16000 BLK  SHADY GROVE RD,ROCKVILLE,A,39.11887,-77.1826,1D,,,,,Unknown
201231432,2019-03-18 10:11:00,23H,All other Larceny,LARCENY - POSTAL,1600 BLK  CARRIAGE HOUSE TER,SILVER SPRING,I,39.04919,-76.9795,3D,,,,,Unknown
201321821,2021-03-03 00:00:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,9400 BLK  WIRE AVE,SILVER SPRING,G,39.00989,-77.0104,3D,,,,,Unknown
201310586,2020-11-24 13:23:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,2200 BLK  RESEARCH BLV,ROCKVILLE,B,39.10014,-77.1819,1D,,,,,Unknown
201377632,2022-05-24 19:50:00,35A,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,,SILVER SPRING,w,0.0,0.0,Unknown,,,,,Unknown
201345450,2021-09-14 20:45:00,90G,Liquor Law Violations,LIQUOR - POSSESS,12300 BLK  GEORGIA AVE,SILVER SPRING,J,39.05819,-77.05,4D,,,,,Unknown
201446188,2023-09-30 15:46:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,4000 BLK  OLNEY LAYTONSVILLE RD,OLNEY,J,39.16059,-77.0791,4D,,,,,Unknown
201445864,2023-09-19 13:03:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),6600 BLK  ROCKLEDGE DR,BETHESDA,E,39.02708,-77.1323,2D,,,,,Unknown
201337377,2021-07-08 05:00:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),18100 BLK  KITCHEN HOUSE CT,GERMANTOWN,N,39.15212,-77.2661,5D,,,,,Unknown
201260509,2019-10-11 22:56:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,12900 BLK  BARLEYCORN TER,GERMANTOWN,N,39.14916,-77.2694,5D,,,,,Unknown
201324226,2021-03-21 09:39:00,90C,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,8700 BLK  GEORGIA AVE,SILVER SPRING,G,38.99752,-77.0297,3D,,,,,Unknown
201316721,2021-01-17 12:19:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,1000 BLK  QUEBEC TER,SILVER SPRING,H,38.99907,-76.9893,3D,,,,,Unknown
201280966,2020-03-08 17:45:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,20700 BLK  SUMMER SWEET TER,GERMANTOWN,M,39.195,-77.2469,5D,,,,,Unknown
201226795,2019-02-13 14:00:00,290,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,2700 BLK  UNIVERSITY BLV W,SILVER SPRING,L,39.04002,-77.0554,4D,,,,,Unknown
201237544,2019-04-30 23:00:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,6900 BLK  CLARENDON RD,BETHESDA,D,38.97926,-77.1012,2D,,,,,Unknown
201303534,2020-09-25 22:00:00,23F,Theft From Motor Vehicle,LARCENY - FROM AUTO,1400 BLK  LEISTER DR,SILVER SPRING,I,39.06646,-76.9849,3D,,,,,Unknown
201274120,2020-01-15 16:00:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,11000 BLK  GLUECK LA,KENSINGTON,D,39.03686,-77.0694,2D,,,,,Unknown
201230000,2019-03-09 23:13:00,90D,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,,SILVER SPRING,I,38.97665,-77.0065,3D,,,,,Unknown
201280500,2020-03-04 18:00:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,12500 BLK  GREAT PARK CIR,GERMANTOWN,M,39.20238,-77.2572,5D,,,,,Unknown
201335666,2021-06-24 01:25:00,13B,Simple Assault,ASSAULT - 2ND DEGREE,19700 BLK  CRYSTAL ROCK DR,GERMANTOWN,N,39.17902,-77.2616,5D,,,,,Unknown
201449370,2023-10-10 00:00:00,23H,All other Larceny,LARCENY (DESCRIBE OFFENSE),8600 BLK  DAKOTA DR,GAITHERSBURG,P,39.12715,-77.1753,6D,,,,,Unknown
201335492,2021-06-21 16:00:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,16800 BLK  OAKMONT AVE,GAITHERSBURG,P,39.13164,-77.175,6D,,,,,Unknown
201435112,2023-07-14 17:10:00,23C,Shoplifting,LARCENY - SHOPLIFTING,20900 BLK  FREDERICK RD,GERMANTOWN,M,39.19829,-77.2448,5D,,,,,Unknown
201333970,2021-06-09 13:56:00,220,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,7000 BLK  CARROLL AVE,TAKOMA PARK,T,38.97464,-77.0121,TPPD,,,,,Unknown
201424508,2023-04-21 12:00:00,240,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,100 BLK  ROLLINS AVE,ROCKVILLE,A,39.05883,-77.1213,1D,,,,,Unknown
201265693,2019-11-16 00:09:00,90J,Trespass of Real Property,TRESPASSING,8600 BLK  COLESVILLE RD,SILVER SPRING,G,38.99602,-77.0281,3D,,,,,Unknown
201233982,2019-04-04 23:59:00,26F,Identity Theft,FRAUD - IDENTITY THEFT,2300 BLK E WEST HWY,SILVER SPRING,D,0.0,0.0,2D,,,,,Unknown
201420528,2023-04-03 09:00:00,23C,Shoplifting,LARCENY - SHOPLIFTING,21000 BLK  FREDERICK RD,GERMANTOWN,M,39.20331,-77.2457,5D,,,,,Unknown
