ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
269999668,2023-06-17,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,B,48,25-44,M,40.852834,-73.884172,,,True,New York
270357451,2023-06-25,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,U,40.892833,-73.84937,,,True,New York
266986179,2023-04-20,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,B,43,25-44,M,40.823378,-73.870168,,,True,New York
262666952,2023-01-29,"FORGERY,ETC.,UNCLASSIFIED-FELO",113.0,FORGERY,M,34,18-24,M,40.86316489,-73.91987408,,,True,New York
262755993,2023-01-31,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,S,121,25-44,M,40.622137,-74.158323,,,True,New York
261751179,2023-01-11,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,B,43,25-44,F,40.822642,-73.853607,,,True,New York
264262125,2023-02-26,ASSAULT POLICE/PEACE OFFICER,106.0,FELONY ASSAULT,M,33,18-24,F,40.838355,-73.93898,,,True,New York
266261559,2023-04-06,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,B,45,25-44,M,40.830792,-73.826946,,,True,New York
270310715,2023-06-23,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,Q,114,45-64,M,40.775833,-73.922476,,,True,New York
268777934,2023-05-24,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,M,13,<18,M,40.73804412,-73.99634096,,,True,New York
263433679,2023-02-11,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,B,48,18-24,M,40.853625,-73.895954,,,True,New York
266727351,2023-04-15,"FORGERY,ETC.-MISD.",358.0,OFFENSES INVOLVING FRAUD,Q,115,25-44,F,40.7565375,-73.87606732,,,True,New York
267572059,2023-05-02,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,K,66,<18,M,40.625717,-73.991048,,,True,New York
262108847,2023-01-18,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,Q,110,25-44,F,40.744981,-73.870144,,,True,New York
262067408,2023-01-18,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,K,90,25-44,M,40.71201,-73.943971,,,True,New York
266157221,2023-04-04,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,Q,105,45-64,M,40.71805707,-73.7364264,,,True,New York
269666648,2023-06-11,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,K,73,25-44,F,40.671104,-73.913562,,,True,New York
266289742,2023-04-06,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,K,81,25-44,M,40.690852,-73.939607,,,True,New York
261941809,2023-01-15,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,B,46,45-64,F,40.849604,-73.916692,,,True,New York
261289366,2023-01-03,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,M,40.880398,-73.863884,,,True,New York
269007186,2023-05-29,"FORGERY-ILLEGAL POSSESSION,VEH",126.0,MISCELLANEOUS PENAL LAW,Q,114,25-44,M,40.76110089,-73.9399805,,,True,New York
263807104,2023-02-17,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,B,40,45-64,M,40.819408,-73.912384,,,True,New York
269352893,2023-06-05,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,M,13,25-44,F,40.740151,-73.994805,,,True,New York
268352295,2023-05-16,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,Q,103,18-24,M,40.70334171,-73.80020318,,,True,New York
269367084,2023-06-06,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,Q,115,25-44,M,40.756585,-73.875603,,,True,New York
266343115,2023-04-07,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,M,13,25-44,M,40.737074,-73.982962,,,True,New York
265940394,2023-03-31,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,K,60,18-24,M,40.58061098,-73.98564317,,,True,New York
269539192,2023-06-08,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,Q,109,25-44,F,40.762037,-73.827328,,,True,New York
262853852,2023-02-01,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,M,33,25-44,M,40.840775,-73.936253,,,True,New York
265805819,2023-03-28,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,K,60,45-64,M,40.5772,-73.990289,,,True,New York
261753635,2023-01-11,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,Q,102,25-44,M,40.688953,-73.825502,,,True,New York
268469315,2023-05-18,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,B,48,25-44,F,40.850253,-73.88874,,,True,New York
266147570,2023-04-04,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,M,9,25-44,M,40.729273,-73.98562,,,True,New York
267788307,2023-05-05,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,B,45,25-44,M,40.867837,-73.831294,,,True,New York
268970064,2023-05-29,RECKLESS ENDANGERMENT 2,355.0,OFFENSES AGAINST THE PERSON,Q,103,18-24,M,40.699795,-73.807364,,,True,New York
267000417,2023-04-20,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,K,70,25-44,M,40.630736,-73.973423,,,True,New York
263387730,2023-02-10,AGGRAVATED CRIMINAL CONTEMPT,126.0,MISCELLANEOUS PENAL LAW,K,60,25-44,M,40.577258,-73.976436,,,True,New York
270353497,2023-06-24,CRIMINAL MIS 2 & 3,121.0,CRIMINAL MISCHIEF & RELATED OF,Q,109,45-64,M,40.76394169,-73.8281463,,,True,New York
261287717,2023-01-03,"CANNABIS POSSESSION, 3",250.0,CANNABIS RELATED OFFENSES,S,121,25-44,M,40.62156431,-74.16848285,,,True,New York
265763710,2023-03-28,AGGRAVATED HARASSMENT 2,361.0,OFF. AGNST PUB ORD SENSBLTY &,Q,107,45-64,M,40.729059,-73.811018,,,True,New York
270387890,2023-06-25,"ROBBERY,OPEN AREA UNCLASSIFIED",105.0,ROBBERY,K,67,18-24,F,40.650378,-73.925859,,,True,New York
267184339,2023-04-24,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,K,71,25-44,U,40.665018,-73.957111,,,True,New York
265068246,2023-03-14,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,K,94,25-44,M,40.726956,-73.953115,,,True,New York
262036471,2023-01-17,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,B,52,45-64,F,40.862158,-73.890743,,,True,New York
262047600,2023-01-17,"NY STATE LAWS,UNCLASSIFIED FEL",125.0,NYS LAWS-UNCLASSIFIED FELONY,K,67,25-44,F,40.644942,-73.92145,,,True,New York
264858878,2023-03-10,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,K,75,18-24,F,40.671404,-73.881509,,,True,New York
264226147,2023-02-25,"IMPERSONATION 2, PUBLIC SERVAN",340.0,FRAUDS,M,19,45-64,M,40.766896,-73.96373,,,True,New York
266086764,2023-04-03,CRIMINAL CONTEMPT 1,126.0,MISCELLANEOUS PENAL LAW,Q,103,45-64,M,40.703546,-73.799675,,,True,New York
