ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City,BlockAddress
269999668,6/17/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,48,25-44,M,40.852834,-73.884172,,,TRUE,New York,"2330, Crotona Avenue, East Tremont, The Bronx, New York, 10458, United States"
270357451,6/25/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,47,25-44,U,40.892833,-73.84937,,,TRUE,New York,"4142, Gunther Avenue, Wakefield, The Bronx, New York, 10466, United States"
266986179,4/20/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,B,43,25-44,M,40.823378,-73.870168,,,TRUE,New York,"900, Fteley Avenue, The Bronx, New York, 10473, United States"
262666952,1/29/2023,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,M,34,18-24,M,40.86316489,-73.91987408,,,TRUE,New York,"3815, 10th Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States"
262755993,1/31/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,S,121,25-44,M,40.622137,-74.158323,,,TRUE,New York,"10, Ludwig Lane, Staten Island, New York, 10303, United States"
261751179,1/11/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,B,43,25-44,F,40.822642,-73.853607,,,TRUE,New York,"2045, Lafayette Avenue, Unionport, The Bronx, New York, 10473, United States"
264262125,2/26/2023,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,M,33,18-24,F,40.838355,-73.93898,,,TRUE,New York,"513, West 165th Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
266261559,4/6/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,B,45,25-44,M,40.830792,-73.826946,,,TRUE,New York,"2899, Barkley Avenue, Schuylerville, The Bronx, New York, 10465, United States"
270310715,6/23/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,Q,114,45-64,M,40.775833,-73.922476,,,TRUE,New York,"24-32, 21st Street, Astoria, Queens, New York, 11102, United States"
268777934,5/24/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,M,13,<18,M,40.73804412,-73.99634096,,,TRUE,New York,"14th Street, West 15th Street, Chelsea District, Manhattan, New York County, New York, 10011, United States"
263433679,2/11/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,B,48,18-24,M,40.853625,-73.895954,,,TRUE,New York,"4445, Park Avenue, Fordham, The Bronx, New York, 10457, United States"
266727351,4/15/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,Q,115,25-44,F,40.7565375,-73.87606732,,,TRUE,New York,"United States Postal Service, 92nd Street, Queens, New York, 11372, United States"
267572059,5/2/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,66,<18,M,40.625717,-73.991048,,,TRUE,New York,"5808, 16th Avenue, Parkville, Brooklyn, Kings County, New York, 11219, United States"
262108847,1/18/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,Q,110,25-44,F,40.744981,-73.870144,,,TRUE,New York,"94-41, 43rd Avenue, Corona, Queens, New York, 11373, United States"
262067408,1/18/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,K,90,25-44,M,40.71201,-73.943971,,,TRUE,New York,"Graham Avenue & Grand Avenue, Graham Avenue, Brooklyn, Kings County, New York, 11206, United States"
266157221,4/4/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,Q,105,45-64,M,40.71805707,-73.7364264,,,TRUE,New York,"95-02, Amboy Lane, Queens, New York, 11429, United States"
269666648,6/11/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,K,73,25-44,F,40.671104,-73.913562,,,TRUE,New York,"69th Precint-NYPD, 1470, East New York Avenue, Ocean Hill, Brooklyn, Kings County, New York, 11212, United States"
266289742,4/6/2023,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,K,81,25-44,M,40.690852,-73.939607,,,TRUE,New York,"Marcus Garvey Boulevard & Lafayette Avenue, Marcus Garvey Boulevard, Sumner Houses, Brooklyn, Kings County, New York, 11216, United States"
261941809,1/15/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,46,45-64,F,40.849604,-73.916692,,,TRUE,New York,"Mobil, University Avenue, Morris Heights, The Bronx, New York, 10453, United States"
