ID,Date,Block,IUCR,Primary Type,Description,Arrest,District,Ward,Latitude,Longitude,City,Vict Age,Vict Sex,Perp Age,Perp Sex
12565085,2021-12-12 01:30:00,007XX W 50TH ST,0810,THEFT,OVER $500,False,9.0,20.0,41.803429487,-87.643914354,Chicago,,,,
12369135,2021-02-14 23:30:00,048XX N DAMEN AVE,0890,THEFT,FROM BUILDING,False,20.0,47.0,41.969341473,-87.679201891,Chicago,,,,
12620232,2022-02-17 02:00:00,076XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,True,4.0,7.0,41.756271144,-87.565108328,Chicago,,,,
13164363,2023-08-03 19:30:00,016XX N FAIRFIELD AVE,0810,THEFT,OVER $500,False,14.0,26.0,41.910818232,-87.695781008,Chicago,,,,
12415978,2021-07-06 15:34:00,059XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,False,2.0,20.0,41.786941601,-87.622266441,Chicago,,,,
12099609,2020-07-07 20:24:00,029XX N NEWCASTLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,False,25.0,36.0,41.93345857,-87.796776726,Chicago,,,,
12385829,2021-06-05 17:15:00,007XX N ADA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,False,12.0,27.0,41.895092447,-87.661378646,Chicago,,,,
12502899,2021-10-05 02:00:00,051XX S RUTHERFORD AVE,0810,THEFT,OVER $500,False,8.0,23.0,41.798554399,-87.790535644,Chicago,,,,
12138147,2020-08-17 03:20:00,008XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,True,1.0,4.0,41.871556324,-87.624163883,Chicago,,,,
12908293,2022-11-30 11:42:00,007XX E 111TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,False,5.0,9.0,41.692833841,-87.60431945,Chicago,,,,
13076919,2023-05-18 10:30:00,021XX S LAFLIN ST,0460,BATTERY,SIMPLE,False,12.0,25.0,41.852934738,-87.663629657,Chicago,,,,
12330051,2021-03-03 00:00:00,014XX W BELLE PLAINE AVE,0820,THEFT,$500 AND UNDER,False,19.0,47.0,41.95616939,-87.665399168,Chicago,,,,
12683987,2022-04-29 01:26:00,048XX S LOOMIS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,True,9.0,20.0,41.805929086,-87.660033433,Chicago,,,,
13145719,2023-07-19 08:15:00,021XX W FLETCHER ST,0810,THEFT,OVER $500,False,19.0,32.0,41.938622732,-87.681607258,Chicago,,,,
12350984,2021-04-28 00:15:00,0000X W GOETHE ST,0810,THEFT,OVER $500,False,18.0,2.0,41.905796075,-87.63039381,Chicago,,,,
12666305,2022-04-09 14:09:00,090XX S MAY ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,False,22.0,21.0,41.729933019,-87.65195455,Chicago,,,,
12797347,2022-08-15 07:07:00,064XX N SHERIDAN RD,0860,THEFT,RETAIL THEFT,False,24.0,49.0,41.998734156,-87.660613118,Chicago,,,,
12165984,2020-09-15 01:40:00,072XX S HARVARD AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,False,7.0,6.0,41.763098893,-87.633390353,Chicago,,,,
12726127,2022-06-10 20:25:00,028XX N PULASKI RD,5112,OTHER OFFENSE,GUN OFFENDER - DUTY TO REPORT CHANGE OF INFORMATION,True,25.0,30.0,41.93231269,-87.726992672,Chicago,,,,
12352724,2021-04-29 21:35:00,043XX S CALIFORNIA AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,False,9.0,15.0,41.814887905,-87.694407554,Chicago,,,,
11941432,2020-01-04 10:12:00,075XX N CLARK ST,0860,THEFT,RETAIL THEFT,True,24.0,49.0,42.018311737,-87.675866628,Chicago,,,,
